metal_impurity,process_time,sintering_temp,humidity,capacity,residual_li,quality_defect
0.019364947,78.06733304,774.1319963,34.39171849,224.746,1899.8,0
0.023586925,67.38949016,823.3179863,59.01792966,195.759,3061.587,0
0.026898645,70.5624418,793.9558667,59.78033071,191.347,3742.394,0
0.025266738,72.10861072,817.2564186,46.74867987,201.304,3025.672,0
0.03141682,79.40350169,786.0523334,55.94603337,189.004,3645.211,0
0.019992793,58.08007416,797.1311293,50.54063256,210.59,3155.901,0
0.032942252,75.00580085,782.1048611,43.07335107,198.615,2810.013,0
0.020545271,60.19573176,796.4269791,46.30118566,220.016,2286.768,0
0.020458136,66.73667497,805.8026143,46.58197883,211.465,3101.219,0
0.026014536,77.15112242,799.3947148,53.89577985,189.023,3186.978,0
0.032151039,67.61156327,783.7641939,,204.816,2377.569,0
0.017864865,69.92186708,778.6927964,55.90012455,211.33,2514.607,0
0.021325147,82.05553127,756.9751043,45.24680035,205.379,3203.383,0
0.019280449,64.44081912,844.8020577,51.43420508,196.429,4225.058,0
0.024656913,79.64983873,772.4161265,46.88152157,204.679,2900.317,0
0.023836402,58.74271833,776.0531131,,189.083,3911.208,0
0.028021203,69.75753599,776.7083927,58.52784185,194.096,3606.611,0
0.019659941,67.445871,785.140298,57.86191609,204.027,2567.713,0
0.020147029,77.86439823,782.5480941,57.4525841,204.275,2768.737,0
0.029937138,74.75555539,788.9639669,51.38070334,191.962,3422.75,0
0.025416907,64.0953372,787.0546592,53.43005151,199.668,3088.746,0
0.02893451,62.55555125,844.5722149,61.69155434,178.943,3657.022,0
0.03124611,72.95857453,795.9486049,50.72467926,201.709,2310.213,0
0.027955186,76.81206047,777.2930451,39.38885826,209.997,2425.55,0
0.024056034,56.54717115,812.0147088,48.20912946,209.656,2492.095,0
0.016438588,55.00445901,856.2059628,47.70093311,196.553,3629.127,0
0.039525009,76.35328396,785.2206484,41.50068471,185.568,2857.982,0
0.036167379,54.36639706,838.4855201,64.69530823,155.713,4105.228,1
0.025922399,72.24277156,760.1350742,53.4781286,194.359,3707.529,0
0.02545379,70.55600564,805.526256,58.10172654,199.156,3791.127,0
0.027905703,63.95221187,790.6463615,62.58683922,188.355,2857.966,0
0.035546983,69.80277491,813.6204999,53.63536271,190.939,3216.822,0
0.026414847,73.67086666,800.3900819,61.77193578,195.305,3760.332,0
0.023675994,84.67500569,763.0436381,37.72910876,202.781,2564.665,0
0.013120013,64.63952082,832.9590058,59.41929511,210.791,3853.029,0
0.028625603,77.51736549,818.0596636,40.57357102,202.243,2800.799,0
0.025833387,69.86751766,824.0960717,40.62394246,207.522,4058.381,0
0.027901302,60.00147691,768.0174311,52.49607577,202.457,3589.82,0
0.022238642,76.51237363,829.5366496,45.2711726,216.353,1676.25,0
0.018390769,71.79206001,775.9684847,51.86302416,207.316,2712.725,0
0.021870782,64.9462965,796.1558893,48.99992776,195.695,2908.558,0
0.006489181,70.86287142,797.3106826,56.73456054,206.321,3799.496,0
0.030504213,71.30980002,779.2808551,37.18192367,197.554,2205.835,0
0.029626479,73.55873463,815.6789384,50.43482868,201.336,3507.877,0
0.017493261,68.28494972,799.0962339,48.56310869,212.511,2347.87,0
0.02983356,69.38910469,787.9189758,39.62822138,215.771,1552.614,0
0.017686208,66.24097585,792.1277674,49.44689652,214.983,2168.567,0
0.024202108,73.22827594,766.9280567,63.76615865,185.654,4197.04,0
0.021863245,87.73359943,768.4923113,45.72879809,194.503,3181.796,0
0.0183067,75.04259681,823.3191151,38.18513747,221.372,2226.629,0
0.008656547,65.08215359,795.1111918,50.55504908,222.478,2531.048,0
0.030549315,68.1745785,802.2689248,33.41613251,217.83,2068.071,0
0.019373476,77.37328275,775.4038599,47.7250893,207.928,2893.872,0
0.007343744,71.66178475,799.3209167,61.46571605,217.633,2674.324,0
,71.14744402,815.308221,58.68229604,197.542,3281.413,0
,81.85038116,752.1294881,38.03951336,201.912,3590.102,0
0.017786739,74.49324056,784.599312,45.52342171,217.426,1594.038,0
0.014919661,,802.4160802,44.49302174,220.134,2808.293,0
0.015245005,81.4430848,818.3705348,61.64036461,202.726,3282.459,0
,63.0323525,756.6632129,55.09976722,207.199,3582.144,0
0.021756674,72.93476492,768.6557305,47.97297945,208.281,2614.708,0
0.022341893,65.28674016,797.1691033,66.28058642,188.017,3070.594,0
0.020397955,82.36576427,792.2827143,50.40913647,210.879,2754.142,0
0.026963893,68.91883083,813.9701725,49.45615795,199.803,2567.815,0
0.026669808,57.27145142,810.3521419,30.72062427,218.181,1954.954,0
0.027438345,90.04488958,801.7903115,62.88892919,188.399,3991.987,0
0.024540903,72.16902466,783.0680959,51.93327776,207.595,2783.468,0
0.018683909,71.40047864,772.1830216,53.58479491,203.152,2834.891,0
0.031091713,76.14547352,829.8497573,55.71056109,176.634,3928.758,0
0.021327262,64.67255762,790.6927405,45.73238122,209.775,3251.142,0
0.02703827,47.43706067,836.4939449,47.51612819,187.045,4176.252,0
0.020837507,86.20676842,778.0742705,51.37568266,201.45,2919.625,0
0.011380859,76.52596532,796.5321824,63.34310089,212.197,2771.852,0
0.027271264,62.61571744,823.7418423,49.85949739,199.345,2895.613,0
0.029994732,61.67909661,791.1337399,56.27875229,194.468,2895.807,0
0.018954293,60.80476971,860,48.66457656,193.379,4329.003,0
0.018321654,74.28166029,786.6567742,46.32927605,208.285,2948.346,0
0.029132728,83.82326115,798.8820169,42.29089245,211.698,2954.877,0
0.019291977,75.74324397,808.0582534,42.71540093,218.688,1704.852,0
