metal_impurity,lithium_input,sintering_temp,humidity,quality_defect
0.019364947,2.249778187,774.1319963,34.39171849,0
0.023586925,1.927030343,823.3179863,59.01792966,0
0.026898645,2.436147735,793.9558667,59.78033071,0
0.025266738,2.075806211,817.2564186,46.74867987,0
0.03141682,2.608867554,786.0523334,55.94603337,0
0.019992793,2.613032682,797.1311293,50.54063256,0
0.032942252,2.074391987,782.1048611,43.07335107,0
0.020545271,2.132242198,796.4269791,46.30118566,0
0.020458136,2.642667802,805.8026143,46.58197883,0
0.026014536,2.651797438,799.3947148,53.89577985,0
0.032151039,2.245668388,783.7641939,,0
0.017864865,1.931845984,778.6927964,55.90012455,0
0.021325147,2.354557799,756.9751043,45.24680035,0
0.019280449,3.022514886,844.8020577,51.43420508,0
0.024656913,2.948627068,772.4161265,46.88152157,0
0.023836402,1.862475547,776.0531131,,0
0.028021203,2.686899331,776.7083927,58.52784185,0
0.019659941,1.440571569,785.140298,57.86191609,0
0.020147029,2.125721275,782.5480941,57.4525841,0
0.029937138,3.025268862,788.9639669,51.38070334,0
0.025416907,2.717095249,787.0546592,53.43005151,0
0.02893451,,844.5722149,61.69155434,0
0.03124611,1.720936596,795.9486049,50.72467926,0
0.027955186,2.476297634,777.2930451,39.38885826,0
0.024056034,2.615677191,812.0147088,48.20912946,0
0.016438588,1.586303248,856.2059628,47.70093311,0
0.039525009,3.05435374,785.2206484,41.50068471,0
0.036167379,2.628134724,838.4855201,64.69530823,1
0.025922399,2.552677164,760.1350742,53.4781286,0
0.02545379,2.82631245,805.526256,58.10172654,0
0.027905703,2.296379061,790.6463615,62.58683922,0
0.035546983,3.026566011,813.6204999,53.63536271,0
0.026414847,2.522691789,800.3900819,61.77193578,0
0.023675994,2.269079098,763.0436381,37.72910876,0
0.013120013,2.825819114,832.9590058,59.41929511,0
0.028625603,2.709821927,818.0596636,40.57357102,0
0.025833387,3.586740964,824.0960717,40.62394246,0
0.027901302,3.163679,768.0174311,52.49607577,0
0.022238642,1.373900618,829.5366496,45.2711726,0
0.018390769,2.270320717,775.9684847,51.86302416,0
0.021870782,1.87762649,796.1558893,48.99992776,0
0.006489181,2.721364317,797.3106826,56.73456054,0
0.030504213,1.951849539,779.2808551,37.18192367,0
0.029626479,3.19243241,815.6789384,50.43482868,0
0.017493261,2.554180709,799.0962339,48.56310869,0
0.02983356,1.440774444,787.9189758,39.62822138,0
0.017686208,2.107280885,792.1277674,49.44689652,0
0.024202108,2.76288222,766.9280567,63.76615865,0
0.021863245,1.933569582,768.4923113,45.72879809,0
0.0183067,1.883684176,823.3191151,38.18513747,0
0.008656547,2.084713105,795.1111918,50.55504908,0
0.030549315,2.67771649,802.2689248,33.41613251,0
0.019373476,2.561132195,775.4038599,47.7250893,0
0.007343744,1.677583135,799.3209167,61.46571605,0
,2.739279138,815.308221,58.68229604,0
,2.913062522,752.1294881,38.03951336,0
0.017786739,1.068958924,784.599312,45.52342171,0
0.014919661,2.88163457,802.4160802,44.49302174,0
0.015245005,2.037961437,818.3705348,61.64036461,0
,2.687782048,756.6632129,55.09976722,0
0.021756674,2.468396418,768.6557305,47.97297945,0
0.022341893,2.187347284,797.1691033,66.28058642,0
0.020397955,2.812037748,792.2827143,50.40913647,0
0.026963893,2.14268967,813.9701725,49.45615795,0
0.026669808,2.504898491,810.3521419,30.72062427,0
0.027438345,2.903100318,801.7903115,62.88892919,0
0.024540903,2.864610106,783.0680959,51.93327776,0
0.018683909,2.460562057,772.1830216,53.58479491,0
0.031091713,2.6182379,829.8497573,55.71056109,0
0.021327262,3.170901022,790.6927405,45.73238122,0
0.02703827,,836.4939449,47.51612819,0
0.020837507,2.184296911,778.0742705,51.37568266,0
0.011380859,1.970048104,796.5321824,63.34310089,0
0.027271264,2.517146278,823.7418423,49.85949739,0
0.029994732,2.47670104,791.1337399,56.27875229,0
0.018954293,2.534930952,860,48.66457656,0
0.018321654,2.293043749,786.6567742,46.32927605,0
0.029132728,2.739433667,798.8820169,42.29089245,0
0.019291977,2.023600933,808.0582534,42.71540093,0
0.021029585,2.721533251,773.7380728,40.27287261,0
0.035115498,3.47268782,834.1050048,42.61690846,0
0.022984003,2.527432094,820.2828036,48.49863207,0
0.018129914,2.143343236,767.1084979,41.83501584,0
0.019772484,3.493781425,817.8076535,47.60588237,0
0.01725565,2.486286806,826.6390626,59.99732214,0
0.020998245,3.145235513,805.354894,63.45453295,0
0.030155654,2.907309692,803.029053,50.48308743,0
0.023319766,2.355878291,789.6015485,48.37668812,0
0.029146271,3.516386937,808.5910165,57.96561109,0
0.027451811,1.959653029,802.5300767,58.7998372,0
0.024408511,2.274936917,791.6093114,44.97547133,0
,1.952356759,790.5561408,33.06676441,0
0.025186371,2.108570141,740,40.97775388,0
0.026234573,2.600605079,839.6070412,50.28461182,0
0.023812364,3.061247353,817.9280995,47.1053397,0
0.02808109,1.879316382,806.0807931,55.33258135,0
0.030042926,3.108006836,802.7043739,45.32100692,0
0.034743712,3.249710373,764.3549108,48.23226146,0
0.041003692,2.132335556,751.6425422,59.95957903,1
0.027608451,2.212368713,798.4368891,58.39471688,0
0.025797487,2.485816547,783.9061164,45.02234044,0
0.01672271,2.712265757,805.0296882,45.0226584,0
0.026459358,2.570580954,788.1942796,50.95380689,0
0.016296145,2.991628093,799.6420469,53.58659253,0
0.016728868,2.291021516,815.3020434,51.69287786,0
0.037890136,3.777876097,813.7038839,28,0
0.019466289,3.198764643,830.0177818,49.98464117,0
0.031246637,3.039507405,795.2381103,44.06246325,0
0.035693244,2.439142072,818.9944187,58.83743372,0
0.018545961,2.319793982,800.4004665,55.05585187,0
