d50,metal_impurity,lithium_input,additive_ratio,process_time,sintering_temp,humidity,tank_pressure,quality_defect
4.328615268,0.019364947,2.249778187,0.134978205,78.06733304,774.1319963,34.39171849,102.8216941,0
5.160850094,0.023586925,1.927030343,0.152675093,67.38949016,823.3179863,59.01792966,100.1980921,0
3.901391439,0.026898645,2.436147735,0.146454705,70.5624418,793.9558667,59.78033071,97.95721137,0
4.087618136,0.025266738,2.075806211,0.142877573,72.10861072,817.2564186,46.74867987,106.4249428,0
4.544215922,0.03141682,2.608867554,0.153431543,79.40350169,786.0523334,55.94603337,101.9517784,0
4.432371444,0.019992793,2.613032682,0.150891194,58.08007416,797.1311293,50.54063256,102.0367407,0
4.739928597,0.032942252,2.074391987,0.157682784,75.00580085,782.1048611,43.07335107,104.4848239,0
4.368459421,0.020545271,2.132242198,0.156579759,60.19573176,796.4269791,46.30118566,98.95382478,0
4.944041405,0.020458136,2.642667802,0.149585397,66.73667497,805.8026143,46.58197883,102.0714561,0
4.79848665,0.026014536,2.651797438,0.143305977,77.15112242,799.3947148,53.89577985,96.41248106,0
4.047198475,0.032151039,2.245668388,0.133528875,67.61156327,783.7641939,,99.76084537,0
5.079289134,0.017864865,1.931845984,0.138663823,69.92186708,778.6927964,55.90012455,98.93120809,0
3.977156558,0.021325147,2.354557799,0.133539421,82.05553127,756.9751043,45.24680035,100.7132068,0
4.423255838,0.019280449,3.022514886,0.150199967,64.44081912,844.8020577,51.43420508,96.92950752,0
3.927203938,0.024656913,2.948627068,0.134233139,79.64983873,772.4161265,46.88152157,97.22027218,0
5.033092355,0.023836402,1.862475547,0.152144094,58.74271833,776.0531131,,105.9901927,0
5.266740758,0.028021203,2.686899331,0.149570486,69.75753599,776.7083927,58.52784185,99.57762734,0
4.908885599,0.019659941,1.440571569,0.143007044,67.445871,785.140298,57.86191609,100.3908236,0
3.399603355,0.020147029,2.125721275,0.15184951,77.86439823,782.5480941,57.4525841,,0
,0.029937138,3.025268862,0.163790913,74.75555539,788.9639669,51.38070334,96.16618728,0
3.998760901,0.025416907,2.717095249,0.16335756,64.0953372,787.0546592,53.43005151,103.3188661,0
3.626097998,0.02893451,,0.136929543,62.55555125,844.5722149,61.69155434,98.85043804,0
4.654713018,0.03124611,1.720936596,0.154439388,72.95857453,795.9486049,50.72467926,104.2224456,0
5.017107726,0.027955186,2.476297634,0.148306315,76.81206047,777.2930451,39.38885826,102.7477076,0
4.175714193,0.024056034,2.615677191,0.150424968,56.54717115,812.0147088,48.20912946,97.91217216,0
4.152316778,0.016438588,1.586303248,0.13336558,55.00445901,856.2059628,47.70093311,97.44026995,0
5.233692103,0.039525009,3.05435374,0.142705606,76.35328396,785.2206484,41.50068471,99.51200224,0
5.278203183,0.036167379,2.628134724,0.177050672,54.36639706,838.4855201,64.69530823,96.70964326,1
3.553427804,0.025922399,2.552677164,0.144238439,72.24277156,760.1350742,53.4781286,102.3320127,0
4.652455291,0.02545379,2.82631245,0.149554293,70.55600564,805.526256,58.10172654,101.4146156,0
4.698587765,0.027905703,2.296379061,0.151858466,63.95221187,790.6463615,62.58683922,106.2795049,0
4.340167905,0.035546983,3.026566011,0.136895693,69.80277491,813.6204999,53.63536271,102.7823154,0
4.61394921,0.026414847,2.522691789,0.122333416,73.67086666,800.3900819,61.77193578,100.4576875,0
4.902392071,0.023675994,2.269079098,0.15663828,84.67500569,763.0436381,37.72910876,105.1820506,0
4.542392641,0.013120013,2.825819114,0.152390867,64.63952082,832.9590058,59.41929511,105.1969348,0
4.534589977,0.028625603,2.709821927,0.155823503,77.51736549,818.0596636,40.57357102,102.9687518,0
3.583736032,0.025833387,3.586740964,0.142817202,69.86751766,824.0960717,40.62394246,99.79914048,0
5.02542883,0.027901302,3.163679,0.15955312,60.00147691,768.0174311,52.49607577,97.98657917,0
4.39246642,0.022238642,1.373900618,0.153909063,76.51237363,829.5366496,45.2711726,93.81028517,0
4.042001372,0.018390769,2.270320717,0.150344009,71.79206001,775.9684847,51.86302416,103.2054147,0
4.550883219,0.021870782,1.87762649,0.162814555,64.9462965,796.1558893,48.99992776,,0
4.377338732,0.006489181,2.721364317,0.153541165,70.86287142,797.3106826,56.73456054,102.5703819,0
3.502648736,0.030504213,1.951849539,0.135483528,71.30980002,779.2808551,37.18192367,103.9286521,0
4.175090543,0.029626479,3.19243241,0.14328224,73.55873463,815.6789384,50.43482868,93.06968969,0
3.971117445,0.017493261,2.554180709,0.149967761,68.28494972,799.0962339,48.56310869,97.88598021,0
4.517258325,0.02983356,1.440774444,0.133178146,69.38910469,787.9189758,39.62822138,94.02081889,0
4.770049311,0.017686208,2.107280885,0.161535859,66.24097585,792.1277674,49.44689652,103.9830584,0
5.261959615,0.024202108,2.76288222,0.134178185,73.22827594,766.9280567,63.76615865,102.4107551,0
4.609093198,0.021863245,1.933569582,,87.73359943,768.4923113,45.72879809,98.18499786,0
4.242877979,0.0183067,1.883684176,0.158672224,75.04259681,823.3191151,38.18513747,98.97164155,0
4.515105671,0.008656547,2.084713105,0.149601906,65.08215359,795.1111918,50.55504908,106.2309416,0
4.166101341,0.030549315,2.67771649,0.136826159,68.1745785,802.2689248,33.41613251,95.23129752,0
3.675476465,0.019373476,2.561132195,0.149853256,77.37328275,775.4038599,47.7250893,98.77876529,0
5.184277148,0.007343744,1.677583135,0.148915202,71.66178475,799.3209167,61.46571605,,0
5.001708439,,2.739279138,0.151665314,71.14744402,815.308221,58.68229604,101.9967557,0
4.234977575,,2.913062522,0.161638622,81.85038116,752.1294881,38.03951336,94.02756401,0
6.178882218,0.017786739,1.068958924,0.152650802,74.49324056,784.599312,45.52342171,101.3046528,0
4.70906609,0.014919661,2.88163457,0.156978154,,802.4160802,44.49302174,102.0049781,0
3.80056446,0.015245005,2.037961437,0.149314858,81.4430848,818.3705348,61.64036461,98.67239286,0
5.180245796,,2.687782048,0.142612287,63.0323525,756.6632129,55.09976722,95.30272278,0
5.338039913,0.021756674,2.468396418,0.146408151,72.93476492,768.6557305,47.97297945,99.46232012,0
4.306521453,0.022341893,2.187347284,0.147129058,65.28674016,797.1691033,66.28058642,,0
5.241026949,0.020397955,2.812037748,0.140344647,82.36576427,792.2827143,50.40913647,101.0028854,0
5.135573431,0.026963893,2.14268967,0.150620358,68.91883083,813.9701725,49.45615795,95.65561822,0
3.606624452,0.026669808,2.504898491,0.136436523,57.27145142,810.3521419,30.72062427,101.090363,0
,0.027438345,2.903100318,0.135776257,90.04488958,801.7903115,62.88892919,100.7063451,0
5.003836783,0.024540903,2.864610106,0.130250379,72.16902466,783.0680959,51.93327776,102.4378039,0
4.816858512,0.018683909,2.460562057,0.131144027,71.40047864,772.1830216,53.58479491,102.2887794,0
5.39421109,0.031091713,2.6182379,0.150416445,76.14547352,829.8497573,55.71056109,96.15209605,0
4.915923198,0.021327262,3.170901022,0.143883617,64.67255762,790.6927405,45.73238122,101.4134089,0
3.473637424,0.02703827,,0.145137771,47.43706067,836.4939449,47.51612819,94.18948588,0
4.511312001,0.020837507,2.184296911,0.144626748,86.20676842,778.0742705,51.37568266,106.1580549,0
4.562337263,0.011380859,1.970048104,0.136962593,76.52596532,796.5321824,63.34310089,99.4774818,0
4.705482334,0.027271264,2.517146278,0.138975769,62.61571744,823.7418423,49.85949739,94.92411205,0
5.274298474,0.029994732,2.47670104,0.150723698,61.67909661,791.1337399,56.27875229,92.30576697,0
4.393882573,0.018954293,2.534930952,0.156167759,60.80476971,860,48.66457656,101.1631094,0
4.577841697,0.018321654,2.293043749,0.143752263,74.28166029,786.6567742,46.32927605,104.4951233,0
5.832946095,0.029132728,2.739433667,0.138848439,83.82326115,798.8820169,42.29089245,93.03893196,0
5.092456593,0.019291977,2.023600933,0.15358549,75.74324397,808.0582534,42.71540093,97.07212355,0
4.282403775,0.021029585,2.721533251,0.132365221,77.85296826,773.7380728,40.27287261,99.36792996,0
4.76027828,0.035115498,3.47268782,0.162611789,67.59608463,834.1050048,42.61690846,95.51008393,0
4.995520005,0.022984003,2.527432094,0.150781437,72.67931208,820.2828036,48.49863207,101.6462165,0
5.103588624,0.018129914,2.143343236,0.129401646,93.3928106,767.1084979,41.83501584,103.5631753,0
4.000001341,0.019772484,3.493781425,0.137849321,83.907891,817.8076535,47.60588237,100.0343539,0
4.965718722,0.01725565,2.486286806,0.154353711,68.94560151,826.6390626,59.99732214,,0
5.277761424,0.020998245,3.145235513,0.165289953,72.69113077,805.354894,63.45453295,96.16047713,0
4.169540189,0.030155654,2.907309692,0.134973479,70.09138972,803.029053,50.48308743,101.1909739,0
4.213241708,0.023319766,2.355878291,0.137175728,68.08729647,789.6015485,48.37668812,100.1326371,0
4.359503441,0.029146271,3.516386937,0.158592237,69.30654499,808.5910165,57.96561109,99.63194609,0
5.081168061,0.027451811,1.959653029,0.146677713,67.81463487,802.5300767,58.7998372,103.8619933,0
4.566488354,0.024408511,2.274936917,0.151114528,77.52554434,791.6093114,44.97547133,98.48812678,0
5.173337549,,1.952356759,,75.7170494,790.5561408,33.06676441,96.51376146,0
3.863769195,0.025186371,2.108570141,0.144201935,87.17491688,740,40.97775388,104.6843146,0
3.617174092,0.026234573,2.600605079,0.16553691,59.08632536,839.6070412,50.28461182,,0
2.630396451,0.023812364,3.061247353,0.143102498,,817.9280995,47.1053397,102.9069936,0
4.476878789,0.02808109,1.879316382,0.138179806,69.2115229,806.0807931,55.33258135,94.1890992,0
4.766566748,0.030042926,3.108006836,0.147534127,60.68385245,802.7043739,45.32100692,98.77916875,0
4.293362813,0.034743712,3.249710373,0.146965799,87.14683218,764.3549108,48.23226146,99.96304212,0
5.285902523,0.041003692,2.132335556,0.143686606,71.92302772,751.6425422,59.95957903,100.86675,1
5.095639242,0.027608451,2.212368713,0.141239827,,798.4368891,58.39471688,99.06476101,0
4.264369159,0.025797487,2.485816547,0.168602982,64.6895932,783.9061164,45.02234044,104.7648283,0
