id,timestamp,d50,d90,metal_impurity,lithium_input,additive_ratio,process_time,sintering_temp,humidity,tank_pressure,operator_id,capacity
LOT-20251202-00000,2025-12-02 0:00,4.328615268,8.704278085,0.019364947,2.249778187,0.134978205,78.06733304,774.1319963,34.39171849,102.8216941,OP_A,224.746
LOT-20251202-00001,2025-12-02 0:10,5.160850094,9.526087263,0.023586925,1.927030343,0.152675093,67.38949016,823.3179863,59.01792966,100.1980921,OP_A,195.759
LOT-20251202-00003,2025-12-02 0:30,4.087618136,8.990080269,0.025266738,2.075806211,0.142877573,72.10861072,817.2564186,46.74867987,106.4249428,OP_A,201.304
LOT-20251202-00004,2025-12-02 0:40,4.544215922,9.14370469,0.03141682,2.608867554,0.153431543,79.40350169,786.0523334,55.94603337,101.9517784,OP_A,189.004
LOT-20251202-00005,2025-12-02 0:50,4.432371444,8.69548301,0.019992793,2.613032682,0.150891194,58.08007416,797.1311293,50.54063256,102.0367407,OP_B,210.59
LOT-20251202-00006,2025-12-02 1:00,4.739928597,9.497532834,0.032942252,2.074391987,0.157682784,75.00580085,782.1048611,43.07335107,104.4848239,OP_A,198.615
LOT-20251202-00007,2025-12-02 1:10,4.368459421,8.100793373,0.020545271,2.132242198,0.156579759,60.19573176,796.4269791,46.30118566,98.95382478,OP_A,220.016
LOT-20251202-00008,2025-12-02 1:20,4.944041405,10.01413415,0.020458136,2.642667802,0.149585397,66.73667497,805.8026143,46.58197883,102.0714561,OP_A,211.465
LOT-20251202-00009,2025-12-02 1:30,4.79848665,9.765396456,0.026014536,2.651797438,0.143305977,77.15112242,799.3947148,53.89577985,96.41248106,OP_C,189.023
LOT-20251202-00010,2025-12-02 1:40,4.047198475,8.485195329,0.032151039,2.245668388,0.133528875,67.61156327,783.7641939,36.50132453,99.76084537,OP_C,204.816
LOT-20251202-00012,2025-12-02 2:00,3.977156558,8.26819999,0.021325147,2.354557799,0.133539421,82.05553127,756.9751043,45.24680035,100.7132068,OP_B,205.379
LOT-20251202-00013,2025-12-02 2:10,4.423255838,9.086215699,0.019280449,3.022514886,0.150199967,64.44081912,844.8020577,51.43420508,96.92950752,OP_C,196.429
LOT-20251202-00015,2025-12-02 2:30,5.033092355,10.04911414,0.023836402,1.862475547,0.152144094,58.74271833,776.0531131,72,105.9901927,OP_A,189.083
LOT-20251202-00016,2025-12-02 2:40,5.266740758,9.273091496,0.028021203,2.686899331,0.149570486,69.75753599,776.7083927,58.52784185,99.57762734,OP_B,194.096
LOT-20251202-00019,2025-12-02 3:10,4.193235839,8.660222082,0.029937138,3.025268862,0.163790913,74.75555539,788.9639669,51.38070334,96.16618728,OP_C,191.962
LOT-20251202-00020,2025-12-02 3:20,3.998760901,7.343705982,0.025416907,2.717095249,0.16335756,64.0953372,787.0546592,53.43005151,103.3188661,OP_A,199.668
LOT-20251202-00021,2025-12-02 3:30,3.626097998,7.30673359,0.02893451,2.286589966,0.136929543,62.55555125,844.5722149,61.69155434,98.85043804,OP_C,178.943
LOT-20251202-00023,2025-12-02 3:50,5.017107726,10.46350091,0.027955186,2.476297634,0.148306315,76.81206047,777.2930451,39.38885826,102.7477076,OP_A,209.997
LOT-20251202-00026,2025-12-02 4:20,5.233692103,9.168183137,0.039525009,3.05435374,0.142705606,76.35328396,785.2206484,41.50068471,99.51200224,OP_B,185.568
LOT-20251202-00029,2025-12-02 4:50,4.652455291,9.254142787,0.02545379,2.82631245,0.149554293,70.55600564,805.526256,58.10172654,101.4146156,OP_B,199.156
LOT-20251202-00030,2025-12-02 5:00,4.698587765,10.04566538,0.027905703,2.296379061,0.151858466,63.95221187,790.6463615,62.58683922,106.2795049,OP_A,188.355
LOT-20251202-00031,2025-12-02 5:10,4.340167905,8.765093253,0.035546983,3.026566011,0.136895693,69.80277491,813.6204999,53.63536271,102.7823154,OP_A,190.939
LOT-20251202-00032,2025-12-02 5:20,4.61394921,9.367511745,0.026414847,2.522691789,0.122333416,73.67086666,800.3900819,61.77193578,100.4576875,OP_B,195.305
LOT-20251202-00033,2025-12-02 5:30,4.902392071,9.038914345,0.023675994,2.269079098,0.15663828,84.67500569,763.0436381,37.72910876,105.1820506,OP_A,202.781
LOT-20251202-00034,2025-12-02 5:40,4.542392641,9.567447307,0.013120013,2.825819114,0.152390867,64.63952082,832.9590058,59.41929511,105.1969348,OP_C,210.791
LOT-20251202-00035,2025-12-02 5:50,4.534589977,9.508171355,0.028625603,2.709821927,0.155823503,77.51736549,818.0596636,40.57357102,102.9687518,OP_A,202.243
LOT-20251202-00036,2025-12-02 6:00,3.583736032,7.05353513,0.025833387,3.586740964,0.142817202,69.86751766,824.0960717,40.62394246,99.79914048,OP_B,207.522
LOT-20251202-00037,2025-12-02 6:10,5.02542883,10.05833475,0.027901302,3.163679,0.15955312,60.00147691,768.0174311,52.49607577,97.98657917,OP_A,202.457
LOT-20251202-00038,2025-12-02 6:20,4.39246642,9.041791334,0.022238642,1.373900618,0.153909063,76.51237363,829.5366496,45.2711726,93.81028517,OP_B,216.353
LOT-20251202-00039,2025-12-02 6:30,4.042001372,8.148151745,0.018390769,2.270320717,0.150344009,71.79206001,775.9684847,51.86302416,103.2054147,OP_A,207.316
LOT-20251202-00040,2025-12-02 6:40,4.550883219,9.20618908,0.021870782,1.87762649,0.162814555,64.9462965,796.1558893,48.99992776,96.82439175,OP_C,195.695
LOT-20251202-00041,2025-12-02 6:50,4.377338732,7.593451178,0.006489181,2.721364317,0.153541165,70.86287142,797.3106826,56.73456054,102.5703819,OP_A,206.321
LOT-20251202-00043,2025-12-02 7:10,4.175090543,8.541429097,0.029626479,3.19243241,0.14328224,73.55873463,815.6789384,50.43482868,93.06968969,OP_C,201.336
LOT-20251202-00044,2025-12-02 7:20,3.971117445,8.431229428,0.017493261,2.554180709,0.149967761,68.28494972,799.0962339,48.56310869,97.88598021,OP_C,212.511
LOT-20251202-00045,2025-12-02 7:30,4.517258325,9.478424215,0.02983356,1.440774444,0.133178146,69.38910469,787.9189758,39.62822138,94.02081889,OP_C,215.771
LOT-20251202-00046,2025-12-02 7:40,4.770049311,9.093441973,0.017686208,2.107280885,0.161535859,66.24097585,792.1277674,49.44689652,103.9830584,OP_A,214.983
LOT-20251202-00047,2025-12-02 7:50,5.261959615,10.55475095,0.024202108,2.76288222,0.134178185,73.22827594,766.9280567,63.76615865,102.4107551,OP_A,185.654
LOT-20251202-00048,2025-12-02 8:00,4.609093198,9.068275393,0.021863245,1.933569582,0.137302476,87.73359943,768.4923113,45.72879809,98.18499786,OP_A,194.503
LOT-20251202-00049,2025-12-02 8:10,4.242877979,8.801489566,0.0183067,1.883684176,0.158672224,75.04259681,823.3191151,38.18513747,98.97164155,OP_C,221.372
