id,timestamp,d50,d90,metal_impurity,lithium_input,additive_ratio,process_time,sintering_temp,humidity,tank_pressure,operator_id,quality_defect
LOT-20251202-00000,2025-12-02 0:00,4.328615268,8.704278085,0.019364947,2.249778187,0.134978205,78.06733304,774.1319963,34.39171849,102.8216941,OP_A,0
LOT-20251202-00001,2025-12-02 0:10,5.160850094,9.526087263,0.023586925,1.927030343,0.152675093,67.38949016,823.3179863,59.01792966,100.1980921,OP_A,0
LOT-20251202-00002,2025-12-02 0:20,3.901391439,8.321704577,0.026898645,2.436147735,0.146454705,70.5624418,793.9558667,59.78033071,97.95721137,OP_A,0
LOT-20251202-00003,2025-12-02 0:30,4.087618136,8.990080269,0.025266738,2.075806211,0.142877573,72.10861072,817.2564186,46.74867987,106.4249428,OP_A,0
LOT-20251202-00004,2025-12-02 0:40,4.544215922,9.14370469,0.03141682,2.608867554,0.153431543,79.40350169,786.0523334,55.94603337,101.9517784,OP_A,0
LOT-20251202-00005,2025-12-02 0:50,4.432371444,8.69548301,0.019992793,2.613032682,0.150891194,58.08007416,797.1311293,50.54063256,102.0367407,OP_B,0
LOT-20251202-00006,2025-12-02 1:00,4.739928597,9.497532834,0.032942252,2.074391987,0.157682784,75.00580085,782.1048611,43.07335107,104.4848239,OP_A,0
LOT-20251202-00007,2025-12-02 1:10,4.368459421,8.100793373,0.020545271,2.132242198,0.156579759,60.19573176,796.4269791,46.30118566,98.95382478,OP_A,0
LOT-20251202-00008,2025-12-02 1:20,4.944041405,10.01413415,0.020458136,2.642667802,0.149585397,66.73667497,805.8026143,46.58197883,102.0714561,OP_A,0
LOT-20251202-00009,2025-12-02 1:30,4.79848665,9.765396456,0.026014536,2.651797438,0.143305977,77.15112242,799.3947148,53.89577985,96.41248106,OP_C,0
LOT-20251202-00011,2025-12-02 1:50,5.079289134,9.762062044,0.017864865,1.931845984,0.138663823,69.92186708,778.6927964,55.90012455,98.93120809,OP_A,0
LOT-20251202-00012,2025-12-02 2:00,3.977156558,8.26819999,0.021325147,2.354557799,0.133539421,82.05553127,756.9751043,45.24680035,100.7132068,OP_B,0
LOT-20251202-00013,2025-12-02 2:10,4.423255838,9.086215699,0.019280449,3.022514886,0.150199967,64.44081912,844.8020577,51.43420508,96.92950752,OP_C,0
LOT-20251202-00014,2025-12-02 2:20,3.927203938,7.16285612,0.024656913,2.948627068,0.134233139,79.64983873,772.4161265,46.88152157,97.22027218,OP_C,0
LOT-20251202-00016,2025-12-02 2:40,5.266740758,9.273091496,0.028021203,2.686899331,0.149570486,69.75753599,776.7083927,58.52784185,99.57762734,OP_B,0
LOT-20251202-00017,2025-12-02 2:50,4.908885599,9.246340359,0.019659941,1.440571569,0.143007044,67.445871,785.140298,57.86191609,100.3908236,OP_B,0
LOT-20251202-00022,2025-12-02 3:40,4.654713018,8.751916868,0.03124611,1.720936596,0.154439388,72.95857453,795.9486049,50.72467926,104.2224456,OP_A,0
LOT-20251202-00023,2025-12-02 3:50,5.017107726,10.46350091,0.027955186,2.476297634,0.148306315,76.81206047,777.2930451,39.38885826,102.7477076,OP_A,0
LOT-20251202-00024,2025-12-02 4:00,4.175714193,8.513817524,0.024056034,2.615677191,0.150424968,56.54717115,812.0147088,48.20912946,97.91217216,OP_B,0
LOT-20251202-00025,2025-12-02 4:10,4.152316778,9.144040135,0.016438588,1.586303248,0.13336558,55.00445901,856.2059628,47.70093311,97.44026995,OP_C,0
LOT-20251202-00026,2025-12-02 4:20,5.233692103,9.168183137,0.039525009,3.05435374,0.142705606,76.35328396,785.2206484,41.50068471,99.51200224,OP_B,0
LOT-20251202-00027,2025-12-02 4:30,5.278203183,10.50193864,0.036167379,2.628134724,0.177050672,54.36639706,838.4855201,64.69530823,96.70964326,OP_C,1
LOT-20251202-00028,2025-12-02 4:40,3.553427804,7.279475426,0.025922399,2.552677164,0.144238439,72.24277156,760.1350742,53.4781286,102.3320127,OP_B,0
LOT-20251202-00029,2025-12-02 4:50,4.652455291,9.254142787,0.02545379,2.82631245,0.149554293,70.55600564,805.526256,58.10172654,101.4146156,OP_B,0
LOT-20251202-00030,2025-12-02 5:00,4.698587765,10.04566538,0.027905703,2.296379061,0.151858466,63.95221187,790.6463615,62.58683922,106.2795049,OP_A,0
LOT-20251202-00031,2025-12-02 5:10,4.340167905,8.765093253,0.035546983,3.026566011,0.136895693,69.80277491,813.6204999,53.63536271,102.7823154,OP_A,0
LOT-20251202-00034,2025-12-02 5:40,4.542392641,9.567447307,0.013120013,2.825819114,0.152390867,64.63952082,832.9590058,59.41929511,105.1969348,OP_C,0
LOT-20251202-00035,2025-12-02 5:50,4.534589977,9.508171355,0.028625603,2.709821927,0.155823503,77.51736549,818.0596636,40.57357102,102.9687518,OP_A,0
LOT-20251202-00036,2025-12-02 6:00,3.583736032,7.05353513,0.025833387,3.586740964,0.142817202,69.86751766,824.0960717,40.62394246,99.79914048,OP_B,0
LOT-20251202-00037,2025-12-02 6:10,5.02542883,10.05833475,0.027901302,3.163679,0.15955312,60.00147691,768.0174311,52.49607577,97.98657917,OP_A,0
LOT-20251202-00038,2025-12-02 6:20,4.39246642,9.041791334,0.022238642,1.373900618,0.153909063,76.51237363,829.5366496,45.2711726,93.81028517,OP_B,0
LOT-20251202-00039,2025-12-02 6:30,4.042001372,8.148151745,0.018390769,2.270320717,0.150344009,71.79206001,775.9684847,51.86302416,103.2054147,OP_A,0
LOT-20251202-00041,2025-12-02 6:50,4.377338732,7.593451178,0.006489181,2.721364317,0.153541165,70.86287142,797.3106826,56.73456054,102.5703819,OP_A,0
LOT-20251202-00042,2025-12-02 7:00,3.502648736,7.601529857,0.030504213,1.951849539,0.135483528,71.30980002,779.2808551,37.18192367,103.9286521,OP_B,0
LOT-20251202-00043,2025-12-02 7:10,4.175090543,8.541429097,0.029626479,3.19243241,0.14328224,73.55873463,815.6789384,50.43482868,93.06968969,OP_C,0
LOT-20251202-00044,2025-12-02 7:20,3.971117445,8.431229428,0.017493261,2.554180709,0.149967761,68.28494972,799.0962339,48.56310869,97.88598021,OP_C,0
LOT-20251202-00045,2025-12-02 7:30,4.517258325,9.478424215,0.02983356,1.440774444,0.133178146,69.38910469,787.9189758,39.62822138,94.02081889,OP_C,0
LOT-20251202-00046,2025-12-02 7:40,4.770049311,9.093441973,0.017686208,2.107280885,0.161535859,66.24097585,792.1277674,49.44689652,103.9830584,OP_A,0
